Ngày,Lần cuối,lag_1,lag_3,lag_7,lag_14,lag_30,pct_change_1d,pct_change_7d,ma7,ma30,ma_spread,vol7,vol30,dow,month,label_price_t_plus_h,label_return_t_plus_h
2000-02-24,14055.0,-1.6476188384348227,-1.6453249715752767,-1.6443809703724548,-1.6418236143062703,-1.639471922270542,-0.04918006187166498,-0.1788580220849538,-1.646141363832248,-1.6430477571598139,-0.1640739410500481,-0.5218318127002393,-0.5962279326386295,0.7063178165661438,-1.3228131413854862,14055.0,0.0
2000-02-25,14055.0,-1.6476188384348227,-1.6458852742227006,-1.6443809703724548,-1.6418236143062703,-1.6391914600678794,-0.04918006187166498,-0.1788580220849538,-1.6462214117294787,-1.642898233208987,-0.17302601147768382,-0.5163554717697706,-0.601994834645146,1.4132669316425506,-1.3228131413854862,14055.0,0.0
2000-02-28,14055.0,-1.6476188384348227,-1.6467257281938366,-1.6443809703724548,-1.6418236143062703,-1.6380696112572293,-0.04918006187166498,-0.1788580220849538,-1.6463014596267096,-1.6427860902458664,-0.1805207681147936,-0.512405754078934,-0.6050476921036554,-1.4145295286630768,-1.3228131413854862,14055.0,0.0
2000-02-29,14055.0,-1.6476188384348227,-1.6467257281938366,-1.6435403789438923,-1.6418236143062703,-1.6389109978652168,-0.04918006187166498,-0.226086802237392,-1.6465015793697872,-1.6426459115419663,-0.19379273299299637,-0.5227961983461624,-0.6116047622505547,-0.70758041358667,-1.3228131413854862,14054.0,-7.114905727499111e-05
2000-03-01,14054.0,-1.6476188384348227,-1.6467257281938366,-1.6435403789438923,-1.6418236143062703,-1.6389109978652168,-0.08582138599171725,-0.24183196914364674,-1.6467417230614805,-1.6425150780849929,-0.20826177705627402,-0.5444652583070827,-0.6196284618105073,-0.0006312985102631297,-1.0310020737852144,14054.0,0.0
2000-03-02,14054.0,-1.647898966973445,-1.6467257281938366,-1.6441007732296007,-1.6418236143062703,-1.6386305356625543,-0.04918006187166498,-0.2103505954488628,-1.6469018188559421,-1.6423935898749458,-0.21924367740646775,-0.5656848165338243,-0.6279345454598833,0.7063178165661438,-1.0310020737852144,14054.0,0.0
2000-03-03,14054.0,-1.647898966973445,-1.6467257281938366,-1.6449413646581632,-1.6412630585498595,-1.6383500734598917,-0.04918006187166498,-0.16311173588124622,-1.6469418428045577,-1.6422814469118256,-0.2251770264108314,-0.5643940305979104,-0.6366162072960279,1.4132669316425506,-1.0310020737852144,14060.0,0.0004269247189412267
2000-03-06,14060.0,-1.647898966973445,-1.6470058795175484,-1.6449413646581632,-1.6412630585498595,-1.6383500734598917,0.17068352593559413,-0.06860712683020834,-1.6467417230614805,-1.6421132324671452,-0.22392790030466633,-0.5199501065280889,-0.6455172265876254,-1.4145295286630768,-1.0310020737852144,14057.0,-0.00021337126600284495
2000-03-07,14057.0,-1.646218195741712,-1.6470058795175484,-1.6449413646581632,-1.6412630585498595,-1.6366673002439163,-0.1590649432032159,-0.115859431355715,-1.646661675164249,-1.6420291252448054,-0.22408404106791707,-0.5175304015418174,-0.6490612207128339,-0.70758041358667,-1.0310020737852144,14058.0,7.113893433876361e-05
2000-03-08,14058.0,-1.6470585813575784,-1.6470058795175484,-1.6449413646581632,-1.6412630585498595,-1.6366673002439163,-0.01254395100107721,-0.1001086631805625,-1.6465416033184028,-1.6419356727755383,-0.22304310264611285,-0.513232213748417,-0.6530515289602091,-0.0006312985102631297,-1.0310020737852144,14059.0,7.113387395077535e-05
2000-03-09,14059.0,-1.6467784528189562,-1.6453249715752767,-1.6449413646581632,-1.640422224915243,-1.6361063758385912,-0.012546557069631875,-0.08435789500536084,-1.6463815075239405,-1.6418515655531984,-0.22007642814391112,-0.5079031904037892,-0.654845848559197,0.7063178165661438,-1.0310020737852144,14061.0,0.00014225762856533183
2000-03-10,14061.0,-1.6464983242803342,-1.6461654255464127,-1.6452215618010173,-1.640422224915243,-1.6352649892306035,0.024081736336862003,-0.03709774535554357,-1.646101339883632,-1.641776803577785,-0.21206120229589925,-0.502706192948718,-0.6529655522404598,1.4132669316425506,-1.0310020737852144,14060.0,-7.111869710546903e-05
2000-03-13,14060.0,-1.6459380672030899,-1.6458852742227006,-1.6452215618010173,-1.640982780671654,-1.6361063758385912,-0.08580575069234418,-0.052849634262754484,-1.6458611961919394,-1.641683351108518,-0.20633604097591632,-0.5135100105956668,-0.6551286314781097,-1.4145295286630768,-1.0310020737852144,14060.0,0.0
2000-03-14,14060.0,-1.646218195741712,-1.6456051228989887,-1.6452215618010173,-1.6418236143062703,-1.6361063758385912,-0.04918006187166498,-0.052849634262754484,-1.6456210525002462,-1.641589898639251,-0.2006108796559135,-0.5409574324516365,-0.6581699080188979,-0.70758041358667,-1.0310020737852144,14062.0,0.0001422475106685633
2000-03-15,14062.0,-1.646218195741712,-1.6450448202515648,-1.6435403789438923,-1.6418236143062703,-1.6347040648252784,0.024076525682664187,-0.11587063389355967,-1.6455410046030148,-1.6415244819107642,-0.2000383635239013,-0.5315862628235769,-0.6555059082439597,-0.0006312985102631297,-1.0310020737852144,14064.0,0.00014222727919214906
2000-03-16,14064.0,-1.6456579386644676,-1.6453249715752767,-1.6443809703724548,-1.6418236143062703,-1.6347040648252784,0.024066106597606652,-0.03712127737994824,-1.6452608369627064,-1.6414403746884243,-0.1923874661235209,-0.5241082958552394,-0.651140836330018,0.7063178165661438,-1.0310020737852144,14064.0,0.0
